Time,Signal,MaxFrequency
0.0,0.0,400.0
0.001,0.6254754349624078,400.0
0.002,-0.875729710767221,400.0
0.003,1.0639129011686355,400.0
0.004,-0.43755966317171574,400.0
0.005,0.18738131458572413,400.0
0.006,0.8120560132418533,400.0
0.007,-0.6902150100052569,400.0
0.008,1.2480980978721883,400.0
0.009000000000000001,-0.25496570776948857,400.0
0.01,0.368124552684677,400.0
0.011,0.9906916880061367,400.0
0.012,-0.51394074964422,400.0
0.013000000000000001,1.421760448460488,400.0
0.014,-0.08416205065671123,400.0
0.015,0.5358267949789952,400.0
0.016,1.1550542014192309,400.0
0.017,-0.35315153323763304,400.0
0.018000000000000002,1.5787478775858559,400.0
0.019,0.06880050346048483,400.0
0.02,0.6845471059286867,400.0
0.021,1.2993209295017545,400.0
0.022,-0.21354339893698038,400.0
0.023,1.7134990273066006,400.0
0.024,0.1985031798441419,400.0
0.025,0.8090169943749521,400.0
0.026000000000000002,1.4183811514882763,400.0
0.027,-0.10006203450046258,400.0
0.028,1.8212402709646784,400.0
0.029,0.30035119652107367,400.0
0.03,0.9048270524660167,400.0
0.031,1.5080170996583457,400.0
0.032,-0.01672757383854251,400.0
0.033,1.8981548212899013,400.0
0.034,0.37073653672489393,400.0
0.035,0.9685831611286418,400.0
0.036000000000000004,1.565053375860658,400.0
0.037,0.03350781823405069,400.0
0.038,1.9415179419918036,400.0
0.039,0.40716576468883015,400.0
0.04,0.9980267284282677,400.0
0.041,1.5874694415757649,400.0
0.042,0.04886452790866569,400.0
0.043000000000000003,1.949793472901174,400.0
0.044,0.4083483568507029,400.0
0.045,0.9921147013144734,400.0
0.046,1.5744711965003448,400.0
0.047,0.028798536089091886,400.0
0.048,1.9226882492098305,400.0
0.049,0.37424241929360513,400.0
0.05,0.951056516295163,400.0
0.051000000000000004,1.5265191099463398,400.0
0.052000000000000005,-0.02597930946068827,400.0
0.053,1.861162486980152,400.0
0.054,0.3060561718587951,400.0
0.055,0.8763066800438725,400.0
0.056,1.4453119084861297,400.0
0.057,-0.1135284762530091,400.0
0.058,1.767395767012336,400.0
0.059000000000000004,0.20620514635535536,400.0
0.06,0.7705132427757834,400.0
0.061,1.3337263977166487,400.0
0.062,-0.23074749140724837,400.0
0.063,1.644709822107961,400.0
0.064,0.07822661514178364,400.0
0.065,0.6374239897486977,400.0
0.066,1.1957155499870606,400.0
0.067,-0.37348381287288357,400.0
0.068,1.4974508630294294,400.0
0.069,-0.07334571851097282,400.0
0.07,0.48175367410173675,400.0
0.07100000000000001,1.0361684683824992,400.0
0.07200000000000001,-0.5366809353018631,400.0
0.073,1.3308356118169484,400.0
0.074,-0.2431423291179498,400.0
0.075,0.3090169943749544,400.0
0.076,0.8607371878098046,400.0
0.077,-0.7145575192714265,400.0
0.078,1.1507664968095583,400.0
0.079,-0.42514808709759455,400.0
0.08,0.12533323356429626,400.0
0.081,0.6756364488432112,400.0
0.082,-0.9008121981153776,400.0
0.083,0.9636225561785078,400.0
0.084,-0.612915347735827,400.0
0.085,-0.06279051952930746,400.0
0.08600000000000001,0.4874235374412418,400.0
0.08700000000000001,-1.0888468069797812,400.0
0.088,0.7760334573198753,400.0
0.089,-0.7997923622145091,400.0
0.09,-0.2486898871648634,400.0
0.091,0.30276598982249303,400.0
0.092,-1.2720001261023657,400.0
0.093,0.5946446375819046,400.0
0.094,-0.9791589191296679,400.0
0.095,-0.4257792915650678,400.0
0.096,0.12820539167096995,400.0
0.097,-1.4437838578434434,400.0
0.098,0.4258818863338636,400.0
0.099,-1.1446608687806648,400.0
0.1,-0.5877852522924544,400.0
0.101,-0.030074360797864852,400.0
0.10200000000000001,-1.5981124778645923,400.0
0.10300000000000001,0.27572370817413894,400.0
0.10400000000000001,-1.2904352220913602,400.0
0.105,-0.7289686274214074,400.0
0.106,-0.16646612844364506,400.0
0.107,-1.7295188178621843,400.0
0.108,0.1494895314242739,400.0
0.109,-1.4113178499209034,400.0
0.11,-0.8443279255019971,400.0
0.111,-0.2761381649003878,400.0
0.112,-1.8333477427301104,400.0
0.113,0.051651264728783675,400.0
0.114,-1.5030264249134047,400.0
0.115,-0.92977648588822,400.0
0.116,-0.35520528360038195,400.0
0.117,-1.9059210610417958,400.0
0.11800000000000001,-0.014325122538115242,400.0
0.11900000000000001,-1.5623121250790755,400.0
0.12,-0.9822872507287005,400.0
0.121,-0.4008664924454427,400.0
0.122,-1.944667826815157,400.0
0.123,-0.04610238396546851,400.0
0.124,-1.5870747249330526,400.0
